code,name,tech,system,capacity_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
3206,ENE33311561,Wind,NORDESTE,54.078,-10.870000,-41.340000,bus-proxy,bus:OUROL2-BA500,,,OUROL2-BA500
3207,ENE33411560,Wind,NORDESTE,23.3564,-11.280000,-42.670000,bus-proxy,bus:GOURO2-BA500,,,GOURO2-BA500
3208,ENE33411594,Wind,NORDESTE,33.5385,-13.980000,-42.610000,bus-proxy,bus:IGAPO3-BA500,,,IGAPO3-BA500
3209,ENE33411561,Wind,NORDESTE,54.078,-10.870000,-41.340000,bus-proxy,bus:OUROL2-BA500,,,OUROL2-BA500
3210,ENE33511560,Wind,NORDESTE,23.3564,-11.280000,-42.670000,bus-proxy,bus:GOURO2-BA500,,,GOURO2-BA500
3211,ENE33511594,Wind,NORDESTE,33.5385,-13.980000,-42.610000,bus-proxy,bus:IGAPO3-BA500,,,IGAPO3-BA500
3212,ENE33511561,Wind,NORDESTE,54.078,-10.870000,-41.340000,bus-proxy,bus:OUROL2-BA500,,,OUROL2-BA500
3213,ENE33611560,Wind,NORDESTE,23.3564,-11.280000,-42.670000,bus-proxy,bus:GOURO2-BA500,,,GOURO2-BA500
3214,ENE33611594,Wind,NORDESTE,33.5385,-13.980000,-42.610000,bus-proxy,bus:IGAPO3-BA500,,,IGAPO3-BA500
3215,ENE33611561,Wind,NORDESTE,54.078,-10.870000,-41.340000,bus-proxy,bus:OUROL2-BA500,,,OUROL2-BA500
3216,ENE33711560,Wind,NORDESTE,23.3564,-11.280000,-42.670000,bus-proxy,bus:GOURO2-BA500,,,GOURO2-BA500
3217,ENE33711594,Wind,NORDESTE,33.5385,-13.980000,-42.610000,bus-proxy,bus:IGAPO3-BA500,,,IGAPO3-BA500
3218,ENE33711561,Wind,NORDESTE,54.078,-10.870000,-41.340000,bus-proxy,bus:OUROL2-BA500,,,OUROL2-BA500
3219,ENE33811560,Wind,NORDESTE,23.3564,-11.280000,-42.670000,bus-proxy,bus:GOURO2-BA500,,,GOURO2-BA500
3220,ENE33811594,Wind,NORDESTE,33.5385,-13.980000,-42.610000,bus-proxy,bus:IGAPO3-BA500,,,IGAPO3-BA500
