code,name,system,cap_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
855,GISE-38952,SUDESTE,4500.0,-22.360000,-41.870000,bus-proxy,bus:V.AZUL-RJ500,,,V.AZUL-RJ500
859,RCSE-41139,SUDESTE,700.76,-20.380000,-43.550000,bus-proxy-interp,bus:GER-OB-MG069,,,GER-OB-MG069
860,RCSE-1752,SUDESTE,700.76,-19.670000,-46.910000,bus-proxy,bus:CBMM---MG138,,,CBMM---MG138
861,RCSE-4471,SUDESTE,700.76,-19.600000,-43.200000,bus-proxy-interp,bus:VALEIT-MG230,,,VALEIT-MG230
862,RCSE-1673,SUDESTE,700.76,-21.710000,-43.400000,bus-proxy,bus:JFORA1-MG138,,,JFORA1-MG138
863,RCSE-38931,SUDESTE,700.76,-21.660000,-46.845000,bus-proxy-interp,bus:N.EXTR-MG138,,,N.EXTR-MG138
864,RCSE-4472,SUDESTE,700.76,-20.430000,-43.320000,bus-proxy-interp,bus:SAMAR--MG345,,,SAMAR--MG345
865,RCSE-27157,SUDESTE,700.76,-20.480000,-43.920000,bus-proxy,bus:CSNCON-MG138,,,CSNCON-MG138
866,RCSE-1825,SUDESTE,700.76,-17.310000,-44.920000,bus-proxy,bus:PIRAD1-MG138,,,PIRAD1-MG138
867,RCSE-27548,SUDESTE,700.76,-20.063333,-44.750000,bus-proxy-interp,bus:USIMIN-MG138,,,USIMIN-MG138
868,RCSE-40672,SUDESTE,700.76,-17.070000,-47.110000,bus-proxy-interp,bus:KINROS-MG500,,,KINROS-MG500
869,RCSE-3343,SUDESTE,700.76,-23.530000,-46.750000,bus-proxy,bus:MFO----SP088,,,MFO----SP088
870,RCSE-1065,SUDESTE,700.76,-23.450000,-46.380000,bus-proxy,bus:NOD-BE-SP088,,,NOD-BE-SP088
871,RCSE-3332,SUDESTE,700.76,-23.600000,-46.690000,bus-proxy,bus:BAN----SP088,,,BAN----SP088
872,RCSE-1067,SUDESTE,700.76,-23.200000,-45.890000,bus-proxy,bus:SJC----SP088,,,SJC----SP088
