code,name,system,cap_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
76,SEGREDO,SUL,1260.0,-13.223833,-59.026806,plant,siga-name,PCH.PH.MT.028822-5.1,"Campos de Júlio - MT, Sapezal - MT",SEGREDUHE013
77,SLT.SANTIAGO,SUL,1420.0,-25.630000,-52.610000,bus-proxy,bus:SSANT-UHE013,,,SSANT-UHE013
78,SALTO OSORIO,SUL,1103.67,-25.537568,-53.008967,plant,siga-name,UHE.PH.PR.002659-0.1,Quedas do Iguaçu - PR,
82,SALTO CAXIAS,SUL,1240.0,-25.540000,-53.500000,bus-proxy,bus:S.CAXIUHE013,,,S.CAXIUHE013
83,BAIXO IGUACU,SUL,350.199,-25.503330,-53.671666,plant,siga-name,UHE.PH.PR.030923-0.1,"Capanema - PR, Capitão Leônidas Marques - PR",BIGUACUHE013
86,BARRA GRANDE,SUL,690.0,-27.780262,-51.191900,plant,siga-name,UHE.PH.RS.027556-5.1,"Anita Garibaldi - SC, Esmeralda - RS",B.GRANUHE013
88,SAO ROQUE,SUL,141.9,-27.497778,-50.804639,plant,siga-name,UHE.PH.SC.030938-9.1,"Brunópolis - SC, Curitibanos - SC, Frei Rogério - SC, São José do Cerrito - SC, Vargem - SC",SAORO-UHE013
89,GARIBALDI,SUL,189.0,-27.624722,-50.983889,plant,siga-name,UHE.PH.SC.030415-8.1,Abdon Batista - SC,GARIBAUHE013
90,CAMPOS NOVOS,SUL,879.999,-27.604119,-51.327117,plant,siga-name,UHE.PH.SC.027401-1.1,"Abdon Batista - SC, Anita Garibaldi - SC, Campos Novos - SC, Celso Ramos - SC",C.NOVOUHE013
91,MACHADINHO,SUL,1140.0,-27.527064,-51.789683,plant,siga-name,UHE.PH.SC.001356-0.1,"Piratuba - SC, Maximiliano de Almeida - RS",MACHADUHE013
92,ITA,SUL,1450.0,-27.276711,-52.382161,plant,siga-name,UHE.PH.RS.001152-5.1,"Aratiba - RS, Itá - SC",ITA---UHE013
93,PASSO FUNDO,SUL,226.0,-27.553188,-52.741407,plant,siga-name,UHE.PH.RS.002001-0.1,Entre Rios do Sul - RS,P.FUN-UHE013
