uf,num,nome_eol,n_turbines,unit_power_MW,hub_height_m,rotor_diameter_m,total_height_m,total_MW,operacao,heterogeneous_hub
BA,030739,Caititu,12,1.9,80.0,82.5,121.2,22.2,Sim,False
RN,030512,Dreen Boa Vista,7,2.0,95.0,100.0,145.0,14.0,Sim,False
RN,030497,Renascença V,15,2.0,95.0,100.0,145.0,30.0,Sim,False
RN,030864,SM,11,2.7,89.0,122.0,150.0,29.7,Sim,False
CE,030295,Colônia,9,2.1,96.2,95.0,143.7,18.9,Sim,False
PB,029086,Coelhos I,6,0.8,75.6,48.0,99.6,4.8,Sim,False
RS,030756,Cerro Chato VI,12,2.0,97.2,100.0,147.2,24.0,Sim,False
CE,028631,Praia Formosa,50,2.1,80.0,88.0,124.0,105.0,Sim,False
RN,030301,Morro dos Ventos I,18,1.6,80.0,82.0,121.0,28.8,Sim,False
SC,029051,Púlpito,20,1.5,100.0,77.0,138.5,30.0,Sim,False
CE,030332,Faísa III,12,2.1,90.0,95.0,137.5,25.2,Sim,False
RN,030672,Costa Branca,9,2.3,80.0,101.0,130.5,20.7,Sim,False
SC,028793,Água Doce,15,0.6,64.6,44.0,86.6,9.0,Sim,False
CE,028887,Bons Ventos,24,2.1,77.5,88.0,121.5,50.0,Sim,False
RN,030498,Asa Branca IV,20,1.6,80.0,82.5,121.2,32.0,Sim,False
RS,030894,Índios 3,10,2.3,108.0,92.0,154.0,23.0,Sim,False
SC,029052,Aquibatã,20,1.5,100.0,77.0,138.5,30.0,Sim,False
BA,031344,Caetité A,14,1.7,80.0,103.0,131.5,23.8,Sim,False
BA,030328,Guanambi,13,1.6,80.0,82.5,121.2,20.8,Sim,False
RS,031559,Verace 26,8,1.8,80.0,100.0,130.0,14.32,Sim,False
BA,032523,Delfina VI,15,2.0,80.0,110.0,135.0,30.0,Sim,False
RN,030567,União dos Ventos 6,8,1.6,80.0,100.0,130.0,12.8,Sim,False
RS,030469,REB Cassino I,11,2.0,78.0,97.0,126.5,22.0,Sim,False
CE,030911,São Jorge,12,2.0,78.0,97.0,126.5,24.0,Sim,False
RN,030281,Mangue Seco 3,13,2.0,108.4,82.0,149.4,26.0,Sim,False
RN,030898,Terral,10,3.0,120.0,116.0,178.0,30.0,Sim,False
RN,030339,Miassaba 3,41,1.7,80.0,86.0,123.0,68.47,Sim,False
RS,030767,Chuí I,12,2.0,78.0,97.0,126.5,24.0,Sim,False
RN,030515,Renascença I,15,2.0,95.0,100.0,145.0,30.0,Sim,False
RN,030516,Renascença II,15,2.0,95.0,100.0,145.0,30.0,Sim,False
RN,030874,Riachão IV,11,2.7,89.0,122.0,150.0,29.7,Sim,False
PB,029075,Vitória,3,1.5,85.0,77.0,123.5,4.5,Sim,False
BA,030448,Caetité 3,15,2.0,78.0,90.0,123.0,30.0,Sim,False
RN,030416,Rei dos Ventos 1,35,1.7,80.0,86.0,123.0,58.45,Sim,False
SE,030296,Barra dos Coqueiros,23,1.5,100.0,82.9,141.4,34.5,Sim,False
CE,028174,Beberibe,32,0.8,75.0,48.0,99.0,25.6,Sim,False
CE,030924,Santa Catarina,9,2.1,120.0,110.0,153.7,18.9,Sim,False
BA,030731,Teiu,9,1.9,80.0,82.5,121.2,16.65,Sim,False
BA,035229,Serra do Vento,9,3.5,84.0,132.0,150.0,31.18,Sim,False
BA,033634,Umburanas 17,9,2.5,90.0,116.0,148.0,22.5,Sim,False
BA,032524,Delfina VII,15,2.0,80.0,110.0,135.0,30.0,Sim,False
BA,031424,Vaqueta,8,3.0,75.0,110.0,130.0,23.4,Sim,True
CE,040881,Serrote IV,4,4.2,125.0,150.0,200.0,16.8,Não,False
BA,032106,Juazeiro,7,2.7,89.0,122.0,150.0,18.9,Sim,False
RS,031509,Pontal 2A,8,2.7,89.0,122.0,150.0,21.6,Sim,False
BA,030753,Tamanduá Mirim,16,1.9,80.0,82.5,121.2,29.6,Sim,False
BA,030490,Da Prata,13,1.7,80.0,82.5,122.0,21.84,Sim,False
RN,030563,União dos Ventos 2,14,1.6,80.0,100.0,130.0,22.4,Sim,False
RN,030290,Mangue Seco 5,13,2.0,108.4,82.0,149.4,26.0,Sim,False
RN,030284,Mangue Seco 2,13,2.0,108.4,82.0,149.4,26.0,Sim,False
RN,030615,Serra de Santana III,15,2.0,78.0,97.0,126.5,30.0,Sim,False
BA,030807,Emiliana,12,2.4,99.5,108.0,153.5,28.2,Sim,False
PB,029092,Mataraca,6,0.8,75.6,48.0,99.6,4.8,Sim,False
BA,032358,Delfina II,14,2.0,80.0,110.0,135.0,28.0,Sim,False
BA,032091,Angelim,8,2.7,89.0,122.0,150.0,21.6,Sim,False
CE,031482,Itarema V,7,3.0,100.0,125.0,162.5,21.0,Sim,False
BA,031519,Casa Nova II,14,2.3,98.0,92.0,144.0,32.9,Sim,False
CE,028788,Canoa Quebrada,28,2.1,80.0,88.0,124.0,57.0,Sim,False
BA,030456,São Pedro do Lago,13,2.4,80.0,100.0,130.0,31.46,Sim,False
PB,029090,Coelhos II,6,0.8,75.6,48.0,99.6,4.8,Sim,False
RN,030873,Riachão VII,11,2.7,89.0,122.0,150.0,29.7,Sim,False
RN,030285,Mangue Seco 1,13,2.0,108.4,82.0,149.4,26.0,Sim,False
BA,030455,Sete Gamelerias,15,2.0,80.0,100.0,130.0,30.0,Sim,False
RN,031412,Ventos de São Martinho,7,2.1,93.0,114.0,150.0,14.7,Sim,False
RS,030468,REB Cassino III,11,2.0,78.0,97.0,126.5,22.0,Sim,False
CE,030282,Coqueiros,18,1.5,85.0,77.0,123.5,27.0,Sim,False
RS,030790,Chuí II,11,2.0,78.0,97.0,126.5,22.0,Sim,False
CE,028649,Canoa Quebrada,5,2.1,80.0,88.0,124.0,10.5,Sim,False
SC,029069,Amparo,15,1.5,100.0,77.0,138.5,22.5,Sim,False
RJ,028730,Gargaú,17,1.6,70.0,82.0,111.0,28.05,Sim,False
RN,036979,Vila Piauí III,9,4.2,120.0,150.0,195.0,37.8,Sim,False
PI,030830,Porto Salgado,10,2.0,90.0,97.0,138.5,20.0,Sim,False
RN,032355,Paraíso dos Ventos do Nordeste,13,2.1,120.0,110.0,175.0,27.3,Sim,False
RS,030844,Minuano I,11,2.0,100.0,90.0,145.0,22.0,Sim,False
BA,031406,Taboquinha,8,2.7,89.0,122.0,150.0,21.6,Sim,False
BA,030732,Angical,7,1.9,80.0,82.5,121.2,12.95,Sim,False
PI,033020,Ventos de Santa Ângela 16,10,3.1,120.0,125.0,182.5,31.5,Sim,False
PE,030789,Tacaicó,8,2.4,80.0,100.0,130.0,18.8,Sim,False
CE,030369,Quixaba,17,1.5,85.0,77.0,123.5,25.5,Sim,False
RN,030872,Riachão VI,11,2.7,89.0,122.0,150.0,29.7,Sim,False
RS,028811,Sangradouro,25,2.0,98.0,70.0,133.0,50.0,Sim,False
BA,030801,Joana,12,2.4,80.0,100.0,130.0,28.2,Sim,False
RN,030351,Eurus VI,4,2.0,98.0,82.0,139.0,8.0,Sim,False
CE,028441,Volta do Rio,28,1.5,65.0,70.0,100.0,42.0,Sim,False
CE,028699,Icaraizinho,26,2.1,80.0,88.0,124.0,54.6,Sim,False
RS,030745,Verace I,10,2.0,100.0,90.0,145.0,20.0,Sim,False
CE,032010,Estrela,11,2.7,119.0,122.0,180.0,29.7,Sim,False
RN,030889,Morro dos Ventos II,18,1.6,80.0,100.0,130.0,29.16,Sim,False
BA,037209,Casa Nova A,18,1.5,100.0,82.0,141.0,27.0,Sim,False
BA,030778,Dourados,17,1.7,80.0,82.5,122.0,28.56,Sim,False
BA,031523,Caetité C,5,1.7,80.0,103.0,131.5,8.5,Sim,False
RS,031561,Verace 24,11,1.8,80.0,100.0,130.0,19.69,Sim,False
CE,030336,Embuaca,13,2.1,80.0,88.0,124.0,27.3,Sim,False
BA,030319,Pajeú do Vento,16,1.6,80.0,82.5,121.2,25.6,Sim,False
CE,031866,Santo Inácio IV,11,2.1,120.0,110.0,175.0,23.1,Sim,False
RN,030311,Morro dos Ventos IV,18,1.6,80.0,82.0,121.0,28.8,Sim,False
RN,030501,Cabeço Preto IV,11,1.8,80.0,100.0,130.0,19.8,Sim,False
RN,030300,Morro dos Ventos VI,18,1.6,80.0,82.0,121.0,28.8,Sim,False
RN,030622,Arizona 1,14,2.0,78.0,90.0,123.0,28.0,Sim,False
CE,028770,Enacel,15,2.1,80.0,88.0,124.0,31.5,Sim,False
BA,030779,Ametista,17,1.7,80.0,82.5,121.2,28.56,Sim,False
CE,032013,Santa Mônica I,7,2.7,119.0,122.0,180.0,18.9,Sim,False
PB,029041,Millennium,13,0.8,74.8,48.0,98.8,10.4,Sim,False
RN,031372,Ventos de Santo Dimas,14,2.1,93.0,114.0,150.0,29.4,Sim,False
BA,031337,Maniçoba,15,2.0,78.0,97.0,126.5,30.0,Não,False
BA,030322,Planaltina,17,1.6,80.0,82.5,121.2,27.2,Sim,False
PE,031422,Ventos de Santa Brígida VII,16,1.7,80.0,100.0,130.0,27.2,Sim,False
RN,030340,Areia Branca,13,2.1,89.0,95.0,136.5,27.3,Sim,True
RS,030449,Osório 3,13,2.3,108.0,82.0,149.0,29.9,Sim,False
RN,028424,RN 15 - Rio do Fogo,62,0.8,75.0,48.0,99.0,49.3,Sim,False
BA,030752,Corrupião,15,1.9,80.0,82.5,121.2,27.75,Sim,False
BA,031524,Casa Nova III,12,2.3,98.0,92.0,144.0,28.2,Sim,False
PE,031365,Ventos de Santa Brígida I,8,1.7,80.0,100.0,130.0,13.6,Sim,False
RN,030625,Serra de Santana I,10,2.0,78.0,97.0,126.5,20.0,Sim,False
RS,030349,Cerro Chato II,15,2.0,108.0,82.0,149.4,30.0,Sim,False
RS,030334,Fazenda Rosário 3,7,2.3,98.0,82.0,139.0,16.1,Sim,False
BA,030324,Pindaí,15,1.6,80.0,82.5,121.2,24.0,Sim,False
BA,031402,Abil,8,3.0,75.0,109.8,129.9,23.7,Sim,True
RS,031578,Verace 28,7,1.8,80.0,100.0,130.0,12.53,Sim,False
CE,032011,Cacimbas 1,7,2.7,119.0,122.0,180.0,18.9,Sim,False
BA,031740,Umburanas 02,10,2.5,90.0,116.0,148.0,25.0,Sim,False
RN,030511,Calango 1,15,2.0,78.0,87.0,121.5,30.0,Sim,False
BA,030768,Maron,18,1.7,80.0,100.0,130.0,30.24,Sim,False
RN,030566,União dos Ventos 5,15,1.6,80.0,100.0,130.0,24.0,Sim,False
RN,030503,Eurus I,19,1.6,80.0,82.0,120.0,30.4,Sim,False
RN,033647,São Miguel III,10,2.1,120.0,110.0,175.0,21.0,Sim,False
RN,030609,Serra de Santana II,15,2.0,90.0,97.0,138.5,30.0,Sim,False
RS,030760,Chuí V,15,2.0,78.0,97.0,126.5,30.0,Sim,False
CE,031484,Itarema III,5,3.0,120.0,116.0,178.0,15.0,Sim,False
RS,030478,Fazenda Rosário 2,10,2.3,98.0,82.0,139.0,23.0,Sim,False
SC,029062,Bom Jardim,20,1.5,100.0,77.0,138.5,30.0,Sim,False
PE,031353,Ventos de Santa Brígida VI,17,1.7,80.0,100.0,130.0,28.9,Sim,False
CE,040880,Serrote III,5,4.2,125.0,150.0,200.0,21.0,Sim,False
RS,030842,Corredor do Senandes II,8,2.7,89.0,122.0,150.0,21.6,Sim,False
RN,030569,União dos Ventos 8,9,1.6,80.0,100.0,130.0,14.4,Sim,False
CE,030925,Ventos de Horizonte,8,2.1,120.0,110.0,153.7,16.8,Sim,False
BA,032102,Imburana Macho,6,2.7,89.0,122.0,150.0,16.2,Não,False
CE,028857,Taíba Águia,11,2.1,96.2,95.0,143.7,23.1,Sim,False
RS,030461,Atlântica IV,10,3.0,120.0,116.0,178.0,30.0,Sim,False
BA,031338,Damascena,15,2.0,90.0,97.0,138.5,30.0,Sim,False
PB,029087,Coelhos III,6,0.8,75.6,48.0,99.6,4.8,Sim,False
RN,030292,Santa Clara I,15,2.0,98.0,82.0,139.0,30.0,Sim,False
RN,030562,União dos Ventos 1,14,1.6,80.0,100.0,130.0,22.4,Sim,False
CE,030912,São Cristóvão,13,2.0,78.0,97.0,126.5,26.0,Sim,False
RN,030787,Modelo I,13,2.4,99.5,108.0,153.5,30.55,Sim,False
RS,031487,Coxilha Seca,15,2.0,80.0,114.0,137.0,30.0,Sim,False
PI,028731,Pedra do Sal,20,0.9,77.0,44.0,99.0,18.0,Sim,False
BA,030738,Coqueirinho,16,1.9,80.0,82.5,121.2,29.6,Sim,False
PB,029088,Atlântica,6,0.8,75.6,48.0,99.6,4.8,Sim,False
BA,030546,Seraíma,18,1.7,80.0,82.5,122.0,30.24,Sim,False
RN,033666,Boa Esperança I,14,2.2,95.0,110.0,150.0,30.8,Sim,False
BA,031742,Umburanas 10,8,2.5,90.0,116.0,148.0,20.0,Sim,False
RS,028855,Palmares,4,2.3,98.0,82.0,139.0,9.2,Sim,False
BA,033648,Ventos da Santa Dulce,14,2.0,80.0,110.0,135.0,28.0,Sim,False
CE,031814,Itarema IX,10,3.0,120.0,125.0,182.5,30.0,Sim,False
BA,030321,Igaporã,19,1.6,80.0,82.5,121.2,30.4,Sim,False
RN,030545,Calango 3,15,2.0,78.0,90.0,123.0,30.0,Sim,False
RN,032356,Potiguar,13,2.1,120.0,110.0,175.0,27.3,Sim,False
BA,031403,Tabua,5,3.0,75.0,109.8,129.9,15.0,Sim,False
BA,031407,Folha de Serra,7,3.0,75.0,122.0,136.0,21.0,Sim,False
RN,030570,União dos Ventos 9,7,1.6,80.0,100.0,130.0,11.2,Sim,False
BA,032521,Delfina III,14,2.0,80.0,110.0,135.0,28.0,Sim,False
BA,030726,Primavera,13,2.3,80.0,84.0,122.0,29.9,Sim,False
BA,033635,Umburanas 19,10,2.5,90.0,116.0,148.0,25.0,Sim,False
RN,030565,União dos Ventos 4,7,1.6,80.0,100.0,130.0,11.2,Sim,False
BA,030751,Inhambu,17,1.9,80.0,82.5,121.2,31.45,Sim,False
BA,032357,Delfina I,14,2.0,80.0,110.0,135.0,28.0,Sim,False
RN,030564,União dos Ventos 3,14,1.6,80.0,100.0,130.0,22.4,Sim,False
CE,035197,Garrote,11,2.1,120.0,110.0,175.0,23.1,Sim,False
BA,032359,Delfina V,14,2.0,80.0,110.0,135.0,28.0,Sim,False
PI,030827,Porto das Barcas,10,2.0,90.0,97.0,138.5,20.0,Sim,False
PB,029085,Albatroz,6,0.8,75.6,48.0,99.6,4.8,Sim,False
BA,030306,Seabra,18,1.7,80.0,86.0,123.0,30.6,Sim,False
BA,031563,Ventos de Guarás I,15,2.0,76.5,97.0,125.5,30.0,Sim,False
CE,031483,Itarema II,9,3.0,100.0,116.0,178.0,27.0,Sim,True
CE,030279,Buriti,20,1.5,85.0,77.0,123.5,30.0,Sim,False
CE,028440,Praia do Morgado,19,1.6,85.0,77.0,123.5,30.02,Sim,False
PE,029015,Mandacaru,3,1.6,70.0,82.0,111.0,4.95,Sim,False
RS,028810,Osório,25,2.0,98.0,70.0,133.0,50.0,Sim,False
RS,031517,Chuí 09,10,1.8,80.0,100.0,130.0,17.9,Sim,False
RS,031558,Verace 31,5,1.8,80.0,100.0,130.0,8.95,Sim,False
RS,031539,Verace 35,13,1.8,80.0,100.0,130.0,39.53,Sim,True
RN,030537,Calango 4,15,2.0,78.0,87.0,121.5,30.0,Sim,False
BA,030341,Rio Verde,19,1.6,80.0,82.5,121.2,30.4,Sim,False
RN,030513,Asa Branca VII,20,1.6,80.0,82.5,121.2,32.0,Sim,False
CE,030309,Faísa V,14,2.1,90.0,95.0,137.5,29.4,Sim,False
RN,030302,Morro dos Ventos IX,19,1.6,80.0,82.0,120.0,30.0,Sim,False
RN,030551,Renascença IV,15,2.0,95.0,100.0,145.0,30.0,Sim,False
CE,030352,Faísa I,14,2.1,90.0,95.0,137.5,29.4,Sim,False
RS,031600,Verace 27,9,1.8,80.0,100.0,130.0,16.11,Sim,False
RS,030457,Atlântica I,10,3.0,120.0,116.0,178.0,30.0,Sim,False
RN,030832,Carcará I,10,3.0,120.0,116.0,178.0,30.0,Sim,False
RS,030462,Atlântica II,10,3.0,120.0,116.0,178.0,30.0,Sim,False
RN,030389,Mar e Terra,11,2.1,93.0,88.0,137.0,23.1,Sim,True
RN,030527,Renascença III,15,2.0,95.0,100.0,145.0,30.0,Sim,False
RS,030750,Ibirapuitã I,12,2.1,80.0,110.0,135.0,25.2,Sim,False
CE,030691,Ilha Grande,11,2.7,89.0,122.0,150.0,29.7,Sim,False
RN,030307,Santa Clara IV,15,2.0,98.0,82.0,139.0,30.0,Sim,False
PE,031540,Serra das Vacas II,13,1.7,80.0,103.0,131.5,22.3,Sim,False
RS,030840,Corredor do Senandes IV,11,2.7,89.0,122.0,150.0,29.7,Sim,False
RN,033644,São Miguel I,10,2.1,120.0,110.0,175.0,21.0,Sim,False
BA,031754,Umburanas 15,8,2.5,90.0,116.0,148.0,20.0,Sim,False
BA,035266,Zeus II,14,2.1,80.0,114.0,137.0,29.4,Sim,False
BA,030776,Pilões,18,1.7,80.0,82.5,122.0,30.24,Sim,False
CE,031815,Itarema VI,8,3.0,120.0,125.0,182.5,24.0,Sim,False
RN,030834,Santa Helena,11,2.7,89.0,122.0,150.0,29.7,Sim,False
RS,030381,Sangradouro 2,13,2.3,108.0,82.0,149.0,29.9,Sim,False
RS,030791,Minuano II,12,2.0,100.0,90.0,145.0,24.0,Sim,False
RS,030286,Osório 2,12,2.3,108.0,82.0,149.0,27.6,Sim,False
PI,033005,Ventos de Santa Ângela 01,10,3.1,120.0,125.0,182.5,31.5,Sim,False
CE,031485,Itarema I,9,3.0,100.0,116.0,158.0,27.0,Sim,False
BA,030437,Caetité 2,15,2.0,78.0,90.0,123.0,30.0,Sim,False
RS,030734,Índios 2,13,2.3,108.0,92.0,154.0,29.9,Sim,False
PE,031537,Serra das Vacas I,14,1.7,80.0,103.0,131.5,23.92,Sim,False
BA,031741,Umburanas 03,8,2.5,90.0,116.0,148.0,20.0,Sim,False
RS,030754,Chuí IV,11,2.0,78.0,97.0,126.5,22.0,Sim,False
BA,030443,Pedra Branca,12,2.0,80.0,90.0,125.0,30.0,Sim,False
RS,028712,Elebrás Cidreira 1,31,2.3,98.0,82.0,139.0,70.0,Sim,False
RN,033643,São Bento do Norte III,11,2.1,120.0,110.0,175.0,23.1,Sim,False
RN,030519,Calango 2,15,2.0,78.0,87.0,121.5,30.0,Sim,False
RN,030536,Dreen São Bento do Norte,15,2.0,120.0,110.0,175.0,30.0,,False
PE,030806,Pedra do Gerônimo,13,2.4,80.0,100.0,130.0,30.55,Sim,False
CE,031817,Itarema VIII,7,3.0,100.0,125.0,162.5,21.0,Sim,False
BA,030318,Nossa Senhora da Conceição,18,1.6,80.0,82.5,121.2,28.8,Sim,False
RN,030308,Santa Clara II,15,2.0,98.0,82.0,139.0,30.0,Sim,False
RS,030477,REB Cassino II,10,2.0,78.0,97.0,126.5,20.0,Sim,False
SC,029055,Rio do Ouro,20,1.5,100.0,77.0,138.5,30.0,Sim,False
RN,030788,Modelo II,11,2.4,99.5,108.0,153.5,25.85,Sim,False
CE,030372,Icaraí I,13,2.1,96.2,95.0,147.5,27.3,Sim,False
PI,033619,Aura Lagoa do Barro 3,9,3.0,120.0,125.0,182.5,27.0,Sim,False
CE,028706,Paracuru,12,2.1,80.0,88.0,124.0,25.2,Sim,False
RN,035158,Afonso Bezerra I,7,4.2,125.0,150.0,200.0,29.4,Sim,False
RN,038143,Vila Sergipe II,9,4.2,120.0,150.0,195.0,37.8,Sim,False
RN,030508,Asa Branca VIII,20,1.6,80.0,82.5,121.2,32.0,Sim,False
PE,030805,Pau Ferro,13,2.4,80.0,100.0,130.0,30.55,Sim,False
RN,030417,Rei dos Ventos 3,36,1.7,80.0,86.0,123.0,60.12,Sim,False
RS,030348,Cerro Chato I,15,2.0,108.0,82.0,149.4,30.0,Sim,False
CE,031611,Bons Ventos Cacimbas 7,8,2.1,120.0,110.0,175.0,16.8,Sim,False
SC,029070,Cruz Alta,20,1.5,100.0,77.0,138.5,30.0,Sim,False
PE,028481,Pirauá,3,1.6,70.0,82.0,111.0,4.95,Sim,False
RN,032354,Esperança do Nordeste,13,2.1,120.0,110.0,175.0,27.3,Sim,False
RN,030507,Asa Branca V,20,1.6,80.0,82.5,121.2,32.0,Sim,False
CE,030331,Faísa II,13,2.1,90.0,95.0,137.5,27.3,Sim,False
RN,030378,Santa Clara V,15,2.0,98.0,82.0,139.0,30.0,Sim,False
CE,030663,Guajirú,13,2.3,80.0,101.0,130.5,30.0,Sim,False
RN,030310,Morro dos Ventos III,18,1.6,80.0,82.0,121.0,28.8,Sim,False
CE,030299,Dunas de Paracuru,21,2.0,78.0,87.0,121.5,42.0,Sim,False
RS,030350,Cerro Chato III,15,2.0,108.0,82.0,149.4,30.0,Sim,False
RN,030121,Aratuá I,9,1.6,80.0,82.5,121.2,14.4,Sim,False
BA,030608,Pedra do Reino III,6,3.0,80.0,90.0,125.0,18.0,Sim,False
BA,031342,Caetité B,13,1.7,80.0,103.0,131.5,22.1,Sim,False
CE,028652,Lagoa do Mato,2,1.6,80.0,88.0,124.0,3.23,Sim,False
RN,028444,Alegria I,31,1.6,70.0,82.0,111.0,51.15,Sim,False
RN,030552,Calango 5,15,2.0,78.0,87.0,121.5,30.0,Sim,False
CE,030695,Ribeirão,8,2.7,89.0,122.0,150.0,21.6,Sim,False
CE,030670,Fleixeiras I,13,2.3,80.0,101.0,130.5,30.0,Sim,False
RN,030568,União dos Ventos 7,9,1.6,80.0,100.0,130.0,14.4,Sim,False
RS,030819,Corredor do Senandes III,10,2.7,89.0,122.0,150.0,27.0,Sim,False
CE,040883,Serrote VI,7,4.2,125.0,150.0,200.0,29.4,Sim,False
BA,030727,Cristal,13,2.3,80.0,101.0,130.5,29.9,Sim,False
CE,031621,Bons Ventos Cacimbas 4,5,2.1,120.0,110.0,175.0,10.5,Sim,False
RN,030671,Pedra Preta,9,2.3,80.0,101.0,130.5,20.7,Sim,False
RN,033642,São Bento do Norte II,11,2.1,120.0,110.0,175.0,23.1,Sim,False
RN,035159,Afonso Bezerra II,7,4.2,125.0,150.0,200.0,29.4,Sim,False
RN,030870,Riachão I,11,2.7,89.0,122.0,150.0,29.7,Sim,False
RN,030549,Dreen Olho D Água,15,2.0,120.0,110.0,175.0,30.0,Sim,False
PI,030838,Delta do Parnaíba,15,2.0,90.0,97.0,138.5,30.0,Sim,False
RS,031601,Verace 34,8,1.8,80.0,100.0,130.0,14.32,Sim,False
RN,030499,Eurus II,15,2.0,80.0,100.0,130.0,30.0,Sim,False
CE,030916,Santo Antônio de Pádua,7,2.0,78.0,97.0,126.5,14.0,Sim,False
BA,032083,Cristalândia III,15,2.0,80.0,110.0,135.0,30.0,Sim,False
RS,031602,Verace 30,10,1.8,80.0,100.0,130.0,17.9,Sim,False
PI,033016,Ventos de Santa Ângela 12,10,3.0,120.0,125.0,182.5,30.0,Sim,False
PI,033022,Ventos de Santa Angela 18,10,3.1,120.0,125.0,182.5,31.5,Sim,False
RN,030571,União dos Ventos 10,9,1.6,80.0,100.0,130.0,14.4,Sim,False
CE,030662,Trairí,11,2.3,80.0,101.0,130.5,25.39,Sim,False
PR,027908,de Palmas,5,0.5,44.0,40.3,64.2,2.5,Sim,False
RN,031427,Santa Mônica,14,2.1,93.0,114.0,150.0,29.4,Sim,False
BA,033630,Campo Largo V,11,2.7,89.0,122.0,150.0,29.7,Sim,False
RS,031541,Verace 25,4,1.8,80.0,100.0,130.0,7.16,Sim,False
RN,030828,Ventos de Santo Uriel,6,2.7,89.0,122.0,150.0,16.2,Sim,False
PB,035240,Ventos de Arapuá 1,7,3.5,84.0,132.0,150.0,24.25,Sim,False
BA,030725,São Judas,13,2.3,80.0,84.0,122.0,29.9,Sim,False
MA,040574,Delta 8 I,13,2.7,90.0,116.0,148.0,35.1,Sim,False
RS,031557,Verace 29,10,1.8,80.0,100.0,130.0,17.9,Sim,False
BA,031404,Angico,3,2.7,89.0,122.0,150.0,8.1,Sim,False
RN,030504,Eurus III,19,1.6,80.0,82.0,121.0,30.0,Sim,False
RN,030897,Carcará II,10,3.0,120.0,116.0,178.0,30.0,Sim,False
BA,030342,Guirapá,18,1.6,80.0,82.5,121.2,28.8,Sim,False
SC,029065,Campo Belo,7,1.5,85.0,77.0,123.5,10.5,Sim,False
BA,030283,Macaúbas,21,1.7,80.0,86.0,123.0,35.07,Sim,False
BA,034633,Campo Largo II,11,2.7,89.0,122.0,150.0,29.7,Sim,False
RN,030502,Farol,10,2.0,95.0,100.0,145.0,20.0,Sim,False
BA,034643,Campo Largo XVIII,11,2.7,89.0,122.0,150.0,29.7,Sim,False
BA,031408,Jacarandá do Cerrado,7,3.0,75.0,100.0,125.0,21.0,Sim,False
BA,034613,Campo Largo I,11,2.7,89.0,122.0,150.0,29.7,Sim,False
CE,030373,Taíba Andorinha,7,2.1,96.2,95.0,143.7,14.7,Sim,False
CE,030918,Ubatuba,6,2.1,120.0,110.0,153.7,12.6,Sim,False
RS,028864,Índios,25,2.0,98.0,70.0,133.0,50.0,Sim,False
CE,030697,Boca do Córrego,9,2.7,89.0,122.0,150.0,24.3,Sim,False
CE,030289,Icaraí,8,2.1,80.0,88.0,124.0,16.8,Sim,False
BA,034637,Campo Largo XVI,11,2.7,89.0,122.0,150.0,29.7,Sim,False
BA,031418,Acácia,6,2.7,89.0,122.0,150.0,16.2,Sim,False
CE,028724,Praias de Parajuru,19,1.5,85.0,77.0,123.5,28.8,Sim,False
SC,029056,Salto,20,1.5,100.0,77.0,138.5,30.0,Sim,False
SC,028491,Eólica de Bom Jardim,1,0.6,45.0,40.0,65.0,0.6,Sim,False
RN,037076,São Fernando 3,7,3.5,120.0,132.0,186.0,24.25,Sim,False
RN,030505,Asa Branca I,10,2.7,89.0,122.0,150.0,27.0,Sim,False
RN,030333,Cabeço Preto,11,1.8,80.0,100.0,130.0,19.8,Sim,False
BA,030316,Candiba,6,1.6,80.0,82.5,121.2,9.6,Sim,False
RS,030901,Pontal 3B,10,2.7,89.0,122.0,150.0,27.0,Sim,False
RS,030480,Atlântica V,10,3.0,120.0,116.0,178.0,30.0,Sim,False
BA,031121,Dois Riachos,15,2.0,90.0,97.0,138.5,30.0,Sim,False
CE,028858,Taíba Albatroz,8,2.1,80.0,88.0,124.0,16.5,Sim,False
BA,030320,Alvorada,5,1.6,80.0,82.5,121.2,8.0,Sim,False
PB,034644,Chafariz 4,10,3.5,84.0,132.0,150.0,34.65,Sim,False
BA,031832,Umburanas 08,10,2.5,90.0,116.0,148.0,25.0,Sim,False
PB,029084,Camurim,6,0.8,75.6,48.0,99.6,4.8,Sim,False
BA,030314,Serra do Salto,12,1.6,80.0,82.5,121.2,19.2,Sim,False
RN,030871,Riachão II,10,2.7,89.0,122.0,150.0,27.0,Sim,False
RN,030660,Juremas,7,2.3,98.0,82.0,139.0,16.1,Sim,False
RS,030343,Fazenda Rosário,4,2.3,98.0,82.0,139.0,9.2,Sim,False
BA,030288,Pedra do Reino,10,3.0,80.0,90.0,125.0,30.0,Sim,False
RN,030520,Asa Branca VI,20,1.6,80.0,82.5,121.2,32.0,Sim,False
PE,031574,Serra das Vacas IV,13,1.7,80.0,103.0,131.5,22.3,Sim,False
CE,040884,Serrote VII,7,4.2,125.0,150.0,200.0,29.4,Sim,False
RN,030304,Santa Clara VI,15,2.0,98.0,82.0,139.0,30.0,Sim,False
BA,031738,Umburanas 01,10,2.5,90.0,116.0,148.0,25.0,Sim,False
BA,034717,Ventos de Santa Emília,13,2.1,80.0,114.0,137.0,27.3,Sim,False
BA,032090,Amescla,5,2.7,90.0,122.0,151.0,13.5,Sim,False
CE,028630,Foz do Rio Choró,12,2.1,80.0,88.0,124.0,25.2,Sim,False
