code,name,lat,lon,confidence,source
81524,VSESPD-BA000,-11.591766,-41.337445,interpolated,topology-interp
81525,VSESPD-BA013,-11.594199,-41.338548,interpolated,topology-interp
81526,VSEG17EOL034,-11.540000,-41.300000,case-existing,case-existing
81527,VSES13-BA034,-11.582621,-41.355518,interpolated,topology-interp
81528,VSESPE-BA000,-11.606405,-41.355891,interpolated,topology-interp
81529,VSESPF-BA000,-11.577852,-41.344378,interpolated,topology-interp
81530,VSESPG-BA000,-11.587201,-41.351998,interpolated,topology-interp
81531,VSESPD-BA000 999kV-2,-11.594870,-41.353002,interpolated,topology-interp
81532,VSESPD-BA013 013kV-2,-11.597732,-41.354418,interpolated,topology-interp
81533,VSES13EOL034,-11.580000,-41.360000,case-existing,case-existing
81534,VSEG17-BA034,-11.559108,-41.314309,interpolated,topology-interp
81535,VSEG15-BA034,-11.567602,-41.327386,interpolated,topology-interp
81536,VSEG15EOL034,-11.550000,-41.320000,case-existing,case-existing
81537,VSEG21EOL034,-11.510000,-41.310000,case-existing,case-existing
81538,SBABILEOL034,-11.070000,-41.320000,case-existing,case-existing
81539,SBABIL-BA230,-11.103294,-41.328988,reference-psrbus,reference-psrbus
81541,SBABILEOL034 034kV-2,-11.080000,-41.310000,case-existing,case-existing
81542,BABILO-BA230,-10.970332,-41.228825,reference-psrbus,reference-psrbus
81543,BABIL1-BA034,-10.955166,-41.229413,interpolated,topology-interp
81544,BABIL2-BA034,-10.980166,-41.224413,interpolated,topology-interp
81545,BABIL2EOL034,-10.990000,-41.220000,case-existing,case-existing
81546,MCSUL1EOL034,-11.660000,-41.360000,case-existing,case-existing
81547,DRIDAMEOL034,-11.840000,-41.470000,case-existing,case-existing
81548,SDB-AF-BA034,-11.121647,-41.329494,interpolated,topology-interp
81549,SDBAF-EOL034,-11.140000,-41.330000,case-existing,case-existing
81550,VBAHI3-BA034,-12.099338,-41.499892,interpolated,topology-interp
81551,VBAHI3EOL034,-12.100000,-41.500000,case-existing,case-existing
81552,VBAHI3-BA230,-12.098014,-41.499677,reference-psrbus,reference-psrbus
81553,VBAHI3-BA013,-12.098676,-41.499784,interpolated,topology-interp
81554,VBAHI3-BA000,-12.098676,-41.499784,interpolated,topology-interp
81555,MCHSUL-BA230,-11.667500,-41.360000,interpolated,topology-interp
81556,MCS--1-BA034,-11.663750,-41.360000,interpolated,topology-interp
81557,MCSUL--BA034,-11.628750,-41.320000,interpolated,topology-interp
81558,MCSUL2EOL034,-11.590000,-41.280000,case-existing,case-existing
81559,SAZUL1-BA034,-11.812500,-41.448750,interpolated,topology-interp
81560,SAZUL2-BA034,-11.832500,-41.433750,interpolated,topology-interp
81561,BABIL1EOL034,-10.940000,-41.230000,case-existing,case-existing
81562,SAZUL--BA230,-11.785000,-41.427500,interpolated,topology-interp
81563,MANESPEOL034,-11.880000,-41.440000,case-existing,case-existing
81564,VBAHI2EOL034,-11.990000,-41.510000,case-existing,case-existing
81565,VBAHI2-BA230,-11.981514,-41.490455,reference-psrbus,reference-psrbus
81566,VBAHI2-BA034,-11.985757,-41.500228,interpolated,topology-interp
81567,SBABI1-BA034,-11.086647,-41.324494,interpolated,topology-interp
81568,SBABI2-BA034,-11.091647,-41.319494,interpolated,topology-interp
81569,CRISTAEOL034,-11.700000,-41.370000,case-existing,case-existing
81570,CR-PRI-BA034,-11.741667,-41.381667,interpolated,topology-interp
81571,CR-SJU-BA034,-11.711667,-41.376667,interpolated,topology-interp
81572,CRISTA-BA069,-11.723333,-41.383333,interpolated,topology-interp
81573,CRISTAEOL034 034kV-2,-11.760000,-41.380000,case-existing,case-existing
81575,ARI-T1-BA000,-9.764497,-41.018094,interpolated,topology-interp
81576,ARI--2-BA034,-9.772249,-41.014047,interpolated,topology-interp
81577,ARI-2-EOL034,-9.780000,-41.010000,case-existing,case-existing
81578,ARIZON-BA500,-9.748995,-41.006187,reference-psrbus,reference-psrbus
81579,ARI--1-BA034,-9.772249,-41.034047,interpolated,topology-interp
81580,ARI-1-EOL034,-9.780000,-41.050000,case-existing,case-existing
81581,PEDBR1EOL034,-9.870000,-41.100000,case-existing,case-existing
81582,PEDBR2-BA034,-9.766154,-41.014615,interpolated,topology-interp
81583,PEDBR2EOL034,-9.860000,-41.060000,case-existing,case-existing
81584,BARAU1EOL034,-9.890000,-41.120000,case-existing,case-existing
81585,CNOVB-EOL034,-9.290000,-41.040000,case-existing,case-existing
81586,C.NOVAEOL034,-9.260000,-41.020000,case-existing,case-existing
81587,CNOVA2-BA230,-9.371429,-40.922857,interpolated,topology-interp
81588,CNOVA2-BA034,-9.302857,-41.015714,interpolated,topology-interp
81589,CNOVA-EOL034,-9.290000,-41.080000,case-existing,case-existing
81590,PEDRBR-BA230,-9.672308,-40.969231,interpolated,topology-interp
81591,PEDBR1-BA034,-9.810769,-41.063077,interpolated,topology-interp
81592,HSOLF2-BA034,-9.533333,-40.440000,interpolated,topology-interp
81593,HUMAI2-BA230,-9.506667,-40.460000,interpolated,topology-interp
81594,JSOLAB-BA034,-9.520899,-40.480907,interpolated,topology-interp
81595,JSOLARUFV034,-9.530000,-40.480000,case-existing,case-existing
81596,DELF-1-BA034,-10.013832,-40.935600,interpolated,topology-interp
81597,DELFI2EOL034,-10.020000,-40.930000,case-existing,case-existing
81598,JSOLAB-BA013,-9.511797,-40.481813,interpolated,topology-interp
81599,JSOLAB-BA000,-9.511813,-40.481817,interpolated,topology-interp
81600,JSOLAR-BA230,-9.502718,-40.482725,interpolated,topology-interp
81601,JSOLAR-BA034,-9.516362,-40.486363,interpolated,topology-interp
81602,DELFI1EOL034,-10.020000,-40.940000,case-existing,case-existing
81603,DELFIN-BA230,-10.007664,-40.931201,reference-psrbus,reference-psrbus
81604,JSOLARUFV034 034kV-2,-9.530000,-40.490000,case-existing,case-existing
81605,DELF-2-BA034,-10.013832,-40.930600,interpolated,topology-interp
81606,HSOLF2UFV034,-9.560000,-40.420000,case-existing,case-existing
81607,FLA-T1-BA000,-10.356884,-40.438310,interpolated,topology-interp
81608,FLA-T2-BA000,-10.336884,-40.438310,interpolated,topology-interp
81609,VSJA22EOL034,-10.460000,-40.490000,case-existing,case-existing
81610,VSJN1-EOL034,-10.360000,-40.440000,case-existing,case-existing
