$version=1
!Code,Latitude,Longitude
345,-14.86,-39.27
346,-5.87,-35.32
347,-7.31,-38.94
348,-14.86,-39.27
349,-8.88,-36.4
352,-4.95,-38
353,-8.39,-35.05
355,-11.71,-41.4
357,-12.6266,-38.34
358,-7.31,-38.94
360,-5.3,-35.87
361,-3.71,-53.72
362,-3.14,-52.18
363,-4.07,-54.9
364,-6.06,-36.53
365,-3.9,-41.19
366,-8.98,-54.96
367,-7.09,-55.39
368,-8.98,-54.96
369,-6.41,-38.88
370,-7.09,-55.39
371,-7.09,-55.39
372,-12.23,-38.375
374,-12.54,-38.99
375,-12.59,-39
376,-14.21,-41.64
381,-12.66,-38.27
385,-13.31,-43.34
387,-13.8475,-46.045
388,-12.91,-38.46
390,-1.46,-48.45
392,-1.34,-47.57
393,-9.75,-48.37
394,-14.03,-42.62
397,-4.226429,-49.276429
398,-1.57,-48.73
399,-4.51,-49.335
402,-10.273333,-48.683333
407,-7.686667,-45.751667
412,-7.86,-35.02
413,-7.86,-35.02
414,-9.4,-40.5
415,-6.35,-47.38
422,-7.86,-35.02
423,-7.31,-38.94
424,-9.44,-40.49
428,-5.26,-42.73
429,-1.3,-47.79
430,-1.3,-47.79
431,-3.57,-44.54
432,-3.57,-44.54
433,-5.38,-36.82
434,-1.46,-48.45
436,-1.34,-47.57
438,-5.343333,-45.466667
439,-5.416667,-46.453333
445,-6.24,-36
452,-5.867492,-36.722506
453,-7.686667,-45.751667
454,-5.867492,-36.722506
459,-5.036667,-46.426667
462,-3.14,-52.18
463,-4.07,-54.9
472,-11.32,-38.38
476,-14.23,-39.46
483,-11.31,-41.81
485,-13.31,-43.35
490,-1.46,-48.45
491,-1.34,-48.38
492,-1.34,-47.57
493,-1.41,-48.49
494,-1.41,-48.49
498,-1.435,-48.26
499,-4.51,-49.335
500,-9.41,-38.2
502,-5.46,-49.15
503,-5.46,-49.15
504,-9.63,-37.8
505,-9.14,-38.31
506,-9.44,-40.83
511,-3.58,-38.87
516,-4.95,-38.93
521,-7.31,-38.94
523,-5.38,-35.89
525,-3.83,-38.54
526,-3.69,-40.3
528,-5.26,-42.73
529,-6.72,-43.56
531,-3.57,-44.54
532,-2.72,-44.32
536,-7.63,-45.21
537,-8.36,-42.23
538,-5.27,-44.48
539,-5.49,-47.44
540,-8.9,-36.3
541,-8.12,-35.04
542,-9.4,-35.84
543,-8.39,-35.05
544,-7.25,-35.98
546,-5.37,-44.36
549,-8.88,-36.4
555,-11.71,-41.4
559,-4.92,-47.4
560,-4.07,-54.9
561,-3.71,-53.71
563,-4.07,-54.9
564,-4.82,-44.35
565,-3.57,-44.54
566,-7.86,-35.02
570,-6.58,-47.46
571,-9.54,-48.52
572,-9.54,-48.52
573,-10.88,-37.15
574,-12.62,-38.34
581,-13.31,-43.34
582,-11.32,-38.38
584,-12.62,-38.34
585,-13.31,-43.34
586,-9.49,-40.52
587,-13.85,-46.18
588,-13.44,-41.37
589,-12.72,-39.19
590,-9.42,-38.2
591,-7.97,-48.46
592,-1.34,-47.57
593,-9.75,-48.37
594,-7.743333,-46.293333
595,-5.49,-47.44
596,-3.252857,-49.532857
597,-3.82,-49.65
598,-1.57,-48.73
599,-5.2,-49.02
600,-9.42,-38.2
601,-9.38,-38.24
602,-9.48,-40.48
603,-10.44,-40.19
604,-9.4,-38.22
605,-9.42,-38.2
606,-9.42,-38.2
607,-7.56,-46.02
608,-9.36,-38.2
609,-8.28,-35.04
611,-9.36,-38.2
612,-9.4,-38.22
613,-9.36,-38.2
615,-6.35,-47.38
616,-6,-40.28
617,-6.41,-38.88
618,-3.69,-38.87
619,-3.79,-38.52
620,-8,-38.63
621,-7.31,-38.94
622,-5.3,-38.91
623,-4.95,-38
624,-5.15,-37.35
625,-3.83,-38.54
626,-3.7,-40.38
627,-4.29,-41.75
628,-5.13,-42.8
629,-6.75,-43.57
630,-4.37,-44.33
631,-3.57,-44.54
632,-2.56,-44.26
633,-7.02,-37.96
634,-3.74,-38.58
635,-9.36,-38.2
636,-4.3,-42.99
637,-8.36,-42.23
638,-5.27,-44.48
639,-5.49,-47.44
640,-8.89,-36.29
641,-8.89,-36.29
642,-9.5,-35.84
643,-8.06,-34.93
644,-7.27,-35.91
645,-6.24,-36.04
646,-5.81,-35.24
647,-7.59,-35.09
648,-7.18,-34.89
649,-8.27,-35.03
650,-7.96,-34.89
651,-5.59,-36.91
652,-5.96,-36.66
653,-6.27,-36.55
654,-8.08,-34.98
655,-8.33,-36.22
656,-7.86,-35.34
657,-7.63,-45.21
658,-10.24,-36.56
659,-9.58,-35.79
660,-7.86,-35.02
661,-7.96,-34.89
662,-10.24,-36.56
663,-8.06,-34.93
664,-12.97,-39.22
665,-11.29,-37.72
666,-12.29,-38.97
668,-12.95,-38.45
669,-6.72,-43.56
670,-10.6,-38.37
671,-10.66,-37.46
672,-12.4,-38.36
673,-10.88,-37.15
674,-12.62,-38.34
675,-12.61,-39.03
676,-14.21,-41.64
677,-12.98,-38.48
678,-12.94,-38.42
679,-12.79,-38.42
680,-12.7,-38.48
681,-12.66,-38.27
683,-11.31,-41.81
684,-7.59,-35.09
685,-13.31,-43.35
686,-12.13,-44.95
687,-8.1,-43.67
688,-12.91,-38.46
689,-6.41,-38.88
690,-1.46,-48.45
691,-1.34,-48.38
692,-1.34,-47.57
693,-1.41,-48.49
694,-6.23,-36.03
695,-7.11,-41.41
696,-3.82,-49.65
697,-3.75,-49.69
698,-1.57,-48.73
699,-5.2,-49.02
700,-1.34,-48.38
701,-12.865,-38.42
703,-1.34,-48.38
708,-9.36,-38.2
709,-12.7,-38.57
710,-8.755,-48.49
711,-6.316667,-47.78
712,-7.143333,-48.12
713,-9.54,-48.52
714,-12.7,-38.48
715,-6.73,-47.95
716,-6,-40.28
717,-12.7,-38.48
718,-9.54,-48.52
731,-3.57,-44.54
732,-3.57,-44.54
733,-3.57,-44.54
735,-7.35,-48.205
736,-6.11,-47.695
738,-5.343333,-45.466667
739,-5.416667,-46.453333
741,-8.12,-35.04
745,-7.16,-35.01
746,-5.87,-35.32
752,-8.47,-35.4
755,-11.716667,-41.391667
757,-8.755,-48.49
759,-5.06,-48.21
762,-3.14,-52.18
763,-4.07,-54.9
765,-3.9,-41.19
770,-15.046667,-49.18
771,-11.006667,-48.846667
774,-10.273333,-48.683333
777,-13.4,-49.03
778,-13.4,-49.03
790,-1.46,-48.45
791,-1.34,-48.38
792,-1.34,-47.57
794,-14.03,-42.62
797,-3.82,-49.65
798,-1.57,-48.73
799,-5.2,-49.02
800,-1.3,-47.79
801,-2.52,-44.3
803,-1.34,-47.57
805,-5.41,-47.56
806,-5.375,-47.565
807,-5.34,-47.57
810,-2.72,-44.32
811,-2.72,-44.32
812,-2.72,-44.32
814,-2.52,-44.17
815,-6.35,-47.38
816,-6.35,-47.38
817,-6.35,-47.38
819,-3.8,-38.53
820,-3.9,-38.54
821,-7.31,-38.94
822,-3.9,-38.54
823,-3.9,-38.54
825,-3.83,-38.54
826,-3.8,-38.53
827,-4.29,-41.75
829,-6.529187,-43.468794
831,-3.57,-44.54
832,-3.57,-44.54
833,-7.02,-37.96
836,-9.75,-45.35
838,-5.153333,-45.453333
841,-8.12,-35.04
842,-11.363333,-44.99
846,-12.17,-44.81
851,-5.59,-36.91
852,-5.867514,-36.722491
854,-10.556667,-45.17
855,-12.73,-45.266667
857,-14.683333,-46.73
858,-5.867514,-36.722491
859,-5.06,-48.21
860,-13.29,-45.723333
862,-3.14,-52.18
863,-4.07,-54.9
872,-12.4,-38.36
874,-12.62,-38.34
875,-12.61,-39.03
876,-14.23,-39.46
877,-12.98,-38.48
885,-13.31,-43.35
886,-13.31,-43.35
890,-1.46,-48.45
891,-1.34,-48.38
892,-1.34,-47.57
893,-1.34,-47.57
897,-3.82,-49.65
898,-1.57,-48.73
899,-5.2,-49.02
900,-1.3,-47.79
901,-1.3,-47.79
909,-14.52,-40.38
910,-9.54,-48.52
911,-9.54,-48.52
912,-5.46,-49.15
913,-5.46,-49.15
914,-2.52,-44.17
915,-6.35,-47.38
916,-5.98,-49.89
917,-6.03,-50.14
918,-6.35,-47.38
919,-9.54,-48.52
920,-1.46,-48.45
923,-3.57,-44.54
930,-4.37,-44.33
931,-3.57,-44.54
933,-3.57,-44.54
934,-5.27,-44.48
935,-5.27,-44.48
936,-6.44,-50.02
938,-5.27,-44.48
939,-5.49,-47.44
940,-5.49,-47.44
941,-8.12,-35.04
942,-5.49,-47.44
944,-5.49,-47.44
945,-5.49,-47.44
947,-5.49,-47.44
948,-5.98,-49.89
949,-1.57,-48.73
950,-1.57,-48.73
951,-1.57,-48.73
952,-1.57,-48.73
953,-1.57,-48.73
954,-1.57,-48.73
955,-1.57,-48.73
956,-1.57,-48.73
969,-7.63,-45.21
972,-12.4,-38.36
974,-12.62,-38.34
976,-14.23,-39.46
977,-12.98,-38.48
978,-1.41,-48.49
984,-1.34,-48.38
985,-1.34,-48.38
986,-1.57,-48.73
987,-1.57,-48.73
988,-5.4,-49.115
989,-1.57,-48.73
990,-1.46,-48.45
991,-1.34,-48.38
992,-1.34,-47.57
993,-1.41,-48.49
994,-1.46,-48.45
995,-1.46,-48.45
996,-1.34,-48.38
999,-5.2,-49.02
1000,-5.2,-49.02
1001,-19.86,-50.35
1002,-21.12,-50.2
1003,-21.76,-48.99
1004,-21.3,-49.78
1005,-21.63,-47.01
1006,-22.52,-48.53
1007,-21.58,-46.62
1008,-21.6,-46.95
1009,-22.15,-48.75
1010,-1.34,-48.38
1013,-1.34,-47.57
1021,-23.525,-46.175
1022,-23.38,-46.4
1023,-23.59,-46.18
1024,-23.68,-46.12
1025,-23.2,-46.02
1026,-23.8,-45.41
1027,-23.22,-45.85
1028,-23.32,-46.4
1029,-23.68,-45.64
1030,-23.69,-45.45
1031,-23.619082,-45.430975
1032,-23.32,-45.73
1033,-23.21,-45.86
1034,-23.23,-45.82
1035,-23.32,-46.1
1036,-23.14,-45.92
1037,-23.18681,-45.916138
1038,-23.192463,-45.904936
1039,-23.76,-45.41
1040,-23.76,-45.71
1051,-23.523904,-46.26263
1052,-23.523856,-46.262634
1053,-23.78,-45.56
1054,-22.66,-44.93
1055,-23.75,-45.77
1056,-23.43,-46.26
1057,-23.62,-46.13
1058,-23.78,-45.61
1059,-23.63,-45.43
1060,-23.33,-46.4
1061,-23.81,-45.41
1062,-23.58,-45.34
1063,-23.55,-46.18
1064,-23.48,-46.56
1065,-23.45,-46.38
1066,-23.55,-46.18
1067,-23.2,-45.89
1068,-23.06,-45.59
1069,-22.87,-45.26
1070,-22.66,-44.93
1081,-18.5,-49.49
1082,-18.5,-49.49
1083,-18.5,-49.49
1084,-18.5,-49.49
1085,-18.5,-49.49
1091,-15.796338,-47.951858
1092,-15.841535,-48.025701
1151,-18.15,-47.95
1152,-18.5,-49.49
1153,-18.5,-49.49
1154,-17.41,-52.48
1155,-17.81,-49.23
1156,-18.44,-50.42
1157,-17.8,-50.91
1158,-17.62339,-51.658983
1159,-18.02,-50.35
1160,-18.15,-47.95
1161,-17.755,-50.91
1162,-18.37,-49.21
1163,-17.4,-50.39
1164,-17.8,-48.62
1166,-18.584,-51.072
1167,-17.63,-51.69
1168,-17.591356,-51.575593
1169,-17.35,-52.81
1170,-16.68,-49.28
1171,-16.79,-49.24
1172,-16.79,-49.24
1173,-16.67,-49.3
1174,-16.59,-50.33
1175,-16.66,-49.26
1176,-16.75,-49.25
1177,-16.73,-49.29
1178,-16.68,-49.24
1179,-16.427888,-49.632472
1180,-16.44,-51.08
1181,-16.58,-49.32
1182,-16.58,-49.26
1183,-16.58,-49.26
1184,-16.66,-49.36
1185,-16.79,-49.24
1186,-16.64,-49.18
1187,-16.78,-49.94
1188,-16.96,-48.94
1189,-17.31,-48.29
1190,-16.087859,-49.836715
1191,-16.74,-49.18
1192,-16.72,-49.35
1193,-16.013068,-50.812101
1194,-16.59,-50.33
1195,-16.81,-49.31
1196,-16.519472,-49.448118
1197,-16.64,-49.47
1198,-16.625,-49.0675
1199,-16.7,-49.11
1200,-18.2,-47.97
1201,-16.55,-49.025
1202,-16.72,-49.35
1203,-15.54,-47.37
1204,-16.15,-47.99
1205,-15.18,-48.29
1206,-15.77,-48.28
1207,-16.442709,-48.171151
1208,-17.81,-49.23
1209,-16.29,-48.94
1210,-15.92,-48.8
1211,-16.4,-48.94
1212,-16.36,-48.95
1213,-16.280909,-48.896364
1214,-16.43,-49.43
1216,-15.34,-49.11
1217,-15.729206,-50.496302
1218,-16.365,-47.7
1219,-13.55,-48.23
1220,-16.703333,-47.69
1221,-13.45,-49.16
1222,-13.55,-48.23
1223,-14.94,-49.52
1224,-15.991298,-48.037659
1225,-16.08,-48.02
1226,-16.29,-47.61
1227,-16.145,-48.135
1228,-14.48,-47.04
1229,-14.12,-46.63
1230,-16.23,-47.94
1231,-16.33,-48.9
1232,-16.19,-47.965
1233,-16.29,-47.688571
1234,-16.09,-47.95
1235,-14.94,-49.52
1236,-15.93,-48.29
1237,-16.79,-47.89
1238,-17.99,-48.54
1240,-18.37,-49.21
1241,-17.81,-49.23
1242,-15.77,-48.28
1244,-16.78,-49.94
1245,-16.59,-51.81
1246,-16.34,-51.44
1247,-18.07,-51.17
1248,-14.49,-48.47
1249,-17.94,-51.73
1250,-16.795,-49.925
1251,-16.81,-49.91
1252,-14.94,-49.52
1253,-14.58,-49.97
1254,-17.1,-47.62
1256,-16.49,-49.24
1257,-17.75,-50.94
1258,-16.75,-49.25
1262,-13.45,-49.16
1267,-16.73,-47.62
1268,-18.14,-48.27
1269,-18.06,-48.21
1270,-18.456667,-50.116667
1271,-18.43,-50.44
1272,-14.23,-46.27
1273,-16.285455,-48.918182
1274,-17.75,-50.94
1278,-16.39,-48.87
1279,-16.475,-48.9825
1291,-15.63,-56
1293,-15.59,-56.08
1295,-15.67,-56.13
1297,-15.59,-56.13
1299,-15.57,-56.083333
1300,-15.55,-56.04
1302,-15.63,-56.1
1304,-15.57,-56.08
1306,-15.65,-56.2
1307,-15.61,-56.074
1308,-15.463333,-55.446667
1309,-15.55,-55.18
1310,-15.57,-54.31
1311,-15.18,-54.12
1312,-14.45,-54.04
1315,-12.58,-55.76
1316,-15.98,-54.96
1317,-16.47,-54.6
1319,-16.47,-54.6
1320,-16.46,-54.64
1322,-17.31,-54.76
1323,-16.79,-54.04
1325,-17.25,-53.32
1326,-16.08,-56.57
1330,-12.58,-55.76
1331,-16.5,-52.62
1332,-15.88,-52.34
1333,-14.65,-52.36
1334,-14.08,-52.15
1335,-13.55,-52.26
1336,-12.6,-52.21
1337,-11.67,-51.39
1338,-10.65,-51.56
1339,-10.03,-51.12
1340,-16.24,-56.64
1341,-16.1,-57.67
1342,-15.64,-58.17
1343,-15.48,-58.34
1344,-15.38,-58.83
1345,-15.25,-59.33
1346,-14.52,-59.55
1347,-13.65,-59.78
1348,-10.65,-51.56
1350,-15.17,-53.66
1351,-14.74,-56.34
1353,-14.64,-56.27
1354,-14.741818,-56.87
1355,-14.74,-57.05
1356,-14.74,-57.05
1357,-14.355906,-57.705848
1358,-14.3,-57.96
1359,-14.43,-56.43
1361,-15.04,-57.18
1362,-14.853333,-57.173333
1363,-14.78,-57.29
1366,-15.23,-56.5
1367,-12.085,-58.405
1370,-13.67,-57.9
1371,-12.801429,-58.237143
1372,-13.54,-58.8
1373,-12.12,-58.02
1374,-11.603333,-58.103333
1375,-11.27,-57.52
1376,-11.42,-58.77
1377,-13.81,-55.28
1378,-13.52,-55.15
1379,-16.46,-54.56
1380,-13.83,-56.08
1381,-13.44,-56.73
1382,-13.01,-55.93
1383,-12.58,-55.76
1384,-11.89,-55.54
1385,-15.57,-56.083333
1386,-11.89,-55.54
1387,-11.84,-55.49
1388,-11.29,-58.74
1389,-11.333659,-55.310244
1390,-11.51,-54.87
1391,-10.81,-55.45
1392,-10.16,-54.93
1393,-9.89,-56.1
1394,-13.83,-56.08
1395,-9.97,-57.45
1396,-12.085,-58.405
1397,-12.24,-56.16
1398,-13.01,-55.93
1399,-10.34,-58.5
1400,-14.713626,-57.913392
1401,-15.031209,-58.061131
1402,-13.456842,-57.606842
1403,-15.269231,-58.766154
1404,-15.25,-58.895
1405,-15.31,-58.78
1406,-17.08,-54.87
1407,-17.59,-54.91
1408,-14.49,-59.53
1409,-13.85,-53.26
1410,-9.573981,-55.182524
1411,-13.428947,-57.318947
1412,-9.005243,-55.088447
1413,-9.35,-56.84
1417,-14.753762,-57.973197
1418,-10.038333,-56.89
1419,-11.98,-55.52
1420,-11.124634,-55.380976
1421,-19.46,-41.1
1423,-20.21,-42.85
1424,-18.79,-48.15
1425,-18.66,-48.44
1426,-18.45,-47.98
1427,-21.14,-45.04
1428,-19.71,-42.96
1429,-19.99,-47.76
1430,-20.02,-47.43
1431,-16.74,-42.57
1432,-21.29,-44.63
1433,-18.91,-48.04
1434,-16.3775,-43.6825
1435,-19.13,-47.7
1436,-19.12,-42.66
1437,-21.88,-43.54
1438,-19.49,-47.54
1440,-16.21,-47.32
1441,-19.65,-42.85
1442,-17.9,-40.2
1443,-19.17,-42.78
1444,-21.98,-43.36
1445,-19.02,-50.5
1446,-18.22,-45.26
1447,-15.536,-43.52
1448,-20.03,-48.22
1450,-20.58,-43.97
1452,-19.02,-42.12
1453,-21.3,-44.63
1454,-19.534507,-42.637447
1456,-20.28,-42.65
1480,-21.19,-43.75
1481,-21.47,-43.53
1482,-20,-43.99
1483,-20.33,-43.78
1484,-20.33,-43.78
1485,-19.79,-45.31
1486,-22.47,-45.52
1487,-20.01,-47.44
1488,-20.01,-47.44
1489,-21.71,-43.4
1491,-20.66,-43.82
1492,-20.19,-43.86
1493,-16.67,-43.82
1494,-19.42,-42.55
1496,-19.82,-44.1
1497,-19.82,-44.1
1498,-20.3,-43.76
1499,-20.3,-43.76
1500,-20.47,-45.79
1502,-19.34,-46.01
1503,-19.34,-46.01
1504,-20.07,-44.84
1505,-19.52,-44.32
1508,-19.93,-43.85
1509,-18.46,-47.99
1510,-16.73,-42.57
1511,-20.01,-47.44
1512,-19.13,-47.7
1514,-19.02,-50.49
1515,-18.21,-45.26
1516,-18.21,-45.26
1517,-20.04,-48.22
1518,-19.74,-43.91
1519,-17.59,-44.74
1521,-16.73,-42.57
1522,-16.83,-42.02
1523,-17.07,-47.11
1524,-17.34,-44.87
1525,-17.34,-44.87
1526,-20.04,-44.31
1527,-19.974,-44.102
1540,-19.98,-43.95
1545,-19.9,-43.98
1546,-19.94,-44.02
1547,-20,-43.99
1548,-19.96,-44.08
1549,-19.99,-44.19
1550,-19.96,-44.14
1551,-19.92,-44.18
1552,-19.98,-43.98
1553,-19.92,-43.95
1554,-19.93,-43.93
1555,-19.93,-44.07
1556,-19.83,-43.86
1557,-19.54,-44.08
1558,-19.9,-44.03
1559,-19.94,-43.96
1560,-19.9,-43.92
1561,-20,-44.03
1562,-19.82,-43.88
1563,-19.87,-43.94
1564,-19.56,-44.11
1565,-19.96,-43.83
1566,-19.82,-44.1
1567,-19.79,-44
1568,-19.83,-44.04
1569,-19.77,-44.12
1570,-19.7,-43.94
1571,-19.99,-43.87
1572,-19.83,-43.95
1573,-19.29,-44.39
1574,-19.6,-44.05
1575,-19.97,-44.09
1576,-19.91,-43.82
1577,-19.93,-43.91
1578,-19.95,-43.94
1579,-19.44,-44.24
1580,-19.47,-44.21
1581,-19.51,-44.27
1582,-19.52,-44.32
1583,-19.76,-43.84
1584,-19.78,-43.92
1585,-19.87,-43.91
1586,-19.78,-43.95
1587,-19.93,-43.85
1588,-19.97,-44.28
1589,-19.74,-43.91
1590,-19.69,-43.95
1591,-19.91,-43.46
1592,-19.68,-44.17
1593,-19.93,-43.97
1594,-19.96,-44.03
1595,-19.92,-44.12
1596,-20.21,-43.73
1597,-19.89,-43.37
1598,-19.48,-44.19
1599,-20.16,-43.95
1600,-19.11,-42.73
1607,-19.32,-46.06
1609,-19.81,-43.11
1610,-19.87,-43.74
1611,-16.85,-42.07
1612,-19.85,-43.44
1613,-19.82,-43.13
1614,-18.3,-41.75
1615,-19.77,-42.13
1616,-19.18,-41.48
1617,-18.55,-41.91
1618,-18.85,-41.98
1619,-18.85,-41.98
1620,-19.6,-43.29
1621,-19.57,-42.12
1622,-19.44,-42.56
1623,-19.44,-42.56
1624,-19.21,-42.35
1626,-19.6,-43.2
1627,-16.57,-41.49
1628,-16.44,-41.02
1629,-20.24,-42.03
1630,-19.42,-42.55
1631,-19.7,-43.05
1632,-18.55,-42.57
1633,-17.08,-41.49
1634,-18.85,-41.98
1635,-19.93,-43.85
1636,-17.87,-41.52
1637,-19.5,-41.02
1638,-19.68,-42.92
1640,-19.12,-42.67
1641,-17.865,-40.285
1644,-19.42,-42.55
1645,-19.01,-42.12
1646,-19.54,-42.64
1647,-16.83,-42.02
1648,-19.42,-42.55
1649,-18.8,-42.96
1650,-20.58,-43.97
1651,-19.48,-42.55
1652,-19.12,-42.72
1653,-19.165556,-42.727778
1654,-19.116667,-42.723333
1655,-20.7,-42.06
1656,-18.72,-42.26
1657,-19.09,-42.85
1659,-19.52,-42.77
1661,-18.76,-41.31
1666,-20.4,-43.52
1667,-21.19,-43.75
1668,-21.16,-43.97
1669,-20.91,-43.83
1670,-20.43,-43.89
1671,-21.18,-44.27
1672,-21.37,-43.57
1673,-21.71,-43.4
1674,-21.66,-43.43
1675,-20.66,-43.82
1677,-20.21,-43.5
1678,-20.39,-43.43
1679,-20.4,-43.51
1680,-20.3,-43.76
1681,-20.43,-42.9
1682,-20.115,-43.805
1683,-19.96,-43.83
1684,-21.44,-43.55
1685,-21.14,-44.25
1686,-20.326667,-42.77
1687,-21.51,-43.37
1688,-21.79,-43.51
1689,-21.98,-43.35
1690,-20.75,-42.88
1691,-20.49,-43.46
1692,-21.77,-43.4
1693,-21.75,-43.35
1694,-21.78,-43.34
1695,-21.47,-43.53
1696,-21.49,-43.4
1697,-21.85,-43.89
1699,-20.26,-43.79
1708,-15.92,-43.33
1710,-15.985882,-43.407647
1712,-18.65,-48.21
1713,-19.61,-46.94
1714,-19.72625,-47.0525
1715,-18.77,-49.07
1716,-20.59,-46.91
1717,-18.47,-47.21
1718,-18.98,-46.31
1719,-20.06,-48.94
1720,-19.51,-46.56
1721,-18.99,-47.48
1722,-19.326667,-48.116667
